BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     244,          1,         36,         36,2,20170928,       0945,   -32.4999,   -72.3354,       2896,     4.5,  13.4101,  34.1658,2,  34.1777,2, 262.3217,2, 271.1287,2,     0.0,2,    5.46,2,    0.22,2,    0.73,2,   2.628,2,   1.536,2,   1.3080,2,  2071.7,2,  2274.9,2,   7.8776,2,    25.00,  -999.0,1,  -999.0,    59.0,2,    9.70,2,     -999.0,1, 20170928,     1109, -32.4999, -72.3354,        0.0,1,      0.696,1,      4.341,1,      0.343,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.3876,2
320620170820,        P06,     245,          1,          1,          1,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  2207.3,   2.0245,  34.6562,2,  34.6549,2,   138.74,2, 139.3833,2,   121.5,2,   36.52,2,    0.00,2,    2.56,2,   0.024,2,   0.027,2,   0.0000,2,  2315.4,2,  2393.9,2,   7.5504,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1503, -32.5000, -72.1956,        0.0,1,      0.062,1,      4.671,1,      0.142,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.0275,2
320620170820,        P06,     245,          1,          2,          2,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  2165.3,   2.0690,  34.6523,2,  34.6519,2, 138.6629,2, 138.3578,2,   120.4,2,   36.61,2,    0.00,2,    2.57,2,   0.022,2,   0.029,2,   0.0000,2,  2314.5,2,  2393.7,2,   7.5474,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1507, -32.4999, -72.1957,        0.0,1,      0.061,1,      4.672,1,      0.161,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.0676,2
320620170820,        P06,     245,          1,          3,          3,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  2125.5,   2.1046,  34.6490,2,  34.6496,2, 137.2598,2, 136.9425,2,   119.9,2,   36.78,2,    0.00,2,    2.59,2,   0.018,2,   0.024,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1509, -32.4999, -72.1959,        0.0,1,      0.062,1,      4.672,1,      0.141,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.1014,2
320620170820,        P06,     245,          1,          4,          4,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1986.5,   2.2005,  34.6398,2,  34.6396,2, 132.9809,2,  132.865,2,   117.5,2,   37.14,2,    0.00,2,    2.61,2,   0.020,2,   0.026,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1515, -32.4998, -72.1961,        0.0,1,      0.061,1,      4.673,1,      0.141,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.1978,2
320620170820,        P06,     245,          1,          5,          5,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1885.1,   2.3000,  34.6304,2,  34.6297,2, 129.8087,2, 129.9328,2,   114.8,2,   37.42,2,    0.00,2,    2.64,2,   0.021,2,   0.027,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1519, -32.4998, -72.1961,        0.0,1,      0.064,1,      4.672,1,      0.144,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.2947,2
320620170820,        P06,     245,          1,          6,          6,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1783.5,   2.4137,  34.6194,2,  34.6191,2, 126.0345,2, 125.9613,2,   111.6,2,   37.78,2,    0.00,2,    2.68,2,   0.025,2,   0.034,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1522, -32.4998, -72.1960,        0.0,1,      0.063,1,      4.671,1,      0.144,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.4031,2
320620170820,        P06,     245,          1,          7,          7,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1681.6,   2.5295,  34.6085,2,  34.6083,2,  122.773,2,  122.616,2,   108.4,2,   38.05,2,    0.00,2,    2.70,2,   0.020,2,   0.025,2,   0.0000,2,  2310.9,2,  2379.2,2,   7.5145,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1525, -32.4998, -72.1959,        0.0,1,      0.063,1,      4.672,1,      0.143,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.5209,2
320620170820,        P06,     245,          1,          8,          8,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1580.5,   2.7010,  34.5919,2,  34.5926,2, 118.2894,2, 118.4977,2,   103.1,2,   38.50,2,    0.00,2,    2.73,2,   0.024,2,   0.030,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1529, -32.4999, -72.1959,        0.0,1,      0.063,1,      4.673,1,      0.142,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.6850,2
320620170820,        P06,     245,          1,          9,          9,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1479.9,   2.9059,  34.5727,2,  34.5737,2, 113.8257,2, 113.6693,2,    97.9,2,   38.86,2,    0.00,2,    2.75,2,   0.025,2,   0.033,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1532, -32.4999, -72.1959,        0.0,1,      0.062,1,      4.672,1,      0.143,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.8860,2
320620170820,        P06,     245,          1,         10,         10,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1378.9,   3.0461,  34.5582,2,  34.5588,2, 110.8855,2, 110.9794,2,    93.8,2,   39.17,2,    0.00,2,    2.75,2,   0.028,2,   0.032,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1535, -32.4999, -72.1959,        0.0,1,      0.064,1,      4.673,1,      0.142,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.0307,2
320620170820,        P06,     245,          1,         11,         11,2,20170928,       1503,   -32.5000,   -72.1955,       2189,  1175.0,   3.4689,  34.5109,2,  34.5109,2,  107.509,2, 108.0932,2,    80.1,2,   39.57,2,    0.00,2,    2.78,2,   0.034,2,   0.036,2,   0.0000,2,  2292.2,2,  2345.1,2,   7.4779,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1540, -32.4999, -72.1958,        0.0,1,      0.062,1,      4.673,1,      0.143,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.4475,2
320620170820,        P06,     245,          1,         12,         12,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   972.3,   3.9714,  34.4505,2,  34.4583,2, 111.8018,2,  111.406,2,    64.8,2,   39.39,2,    0.00,2,    2.75,2,   0.093,2,   0.069,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1545, -32.4999, -72.1957,        0.0,1,      0.063,1,      4.672,1,      0.147,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.8961,2
320620170820,        P06,     245,          1,         13,         13,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   870.9,   4.2259,  34.4164,2,  34.4196,2, 120.2456,2, 120.2784,2,    53.8,2,   38.50,2,    0.00,2,    2.69,2,   0.233,2,   0.129,2,   0.0410,2,  2263.5,2,  2317.2,2,   7.4877,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1548, -32.4999, -72.1957,        0.0,1,      0.061,1,      4.671,1,      0.148,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.1945,2
320620170820,        P06,     245,          1,         14,         14,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   770.3,   4.6256,  34.3674,2,  34.3707,2, 139.9347,2, 139.0545,2,    40.8,2,   36.60,2,    0.00,2,    2.53,2,   0.653,2,   0.312,2,   0.0700,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1551, -32.5000, -72.1956,        0.0,1,      0.062,1,      4.671,1,      0.150,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.5566,2
320620170820,        P06,     245,          1,         15,         15,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   669.4,   5.1214,  34.3252,2,  34.3201,2, 165.2391,2, 167.2417,2,    26.1,2,   33.37,2,    0.00,2,    2.31,2,   1.622,2,   0.759,2,   0.2990,2,  2209.7,2,  2287.7,2,   7.5594,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1555, -32.5000, -72.1956,        0.0,1,      0.062,1,      4.670,1,      0.149,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.1206,2
320620170820,        P06,     245,          1,         16,         16,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   567.9,   5.6265,  34.3094,2,  34.3078,2, 178.0809,2, 176.4309,2,    19.8,2,   31.85,2,    0.00,2,    2.20,2,   2.263,2,   1.106,2,   0.4170,2,  2199.2,2,  2281.8,2,   7.5718,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1558, -32.5000, -72.1955,        0.0,1,      0.061,1,      4.668,1,      0.154,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.5412,2
320620170820,        P06,     245,          1,         17,         17,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   466.4,   6.3065,  34.3404,2,  34.3380,2, 155.6375,2, 154.1753,2,    17.3,2,   32.11,2,    0.00,2,    2.24,2,   2.464,2,   1.260,2,   0.4450,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1601, -32.5000, -72.1955,        0.0,1,      0.061,1,      4.664,1,      0.160,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.3321,2
320620170820,        P06,     245,          1,         18,         18,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   437.5,   6.7015,  34.3696,2,  34.3607,2, 132.6325,2, 134.6718,2,    18.3,2,   33.11,2,    0.00,2,    2.32,2,   2.345,2,   1.169,2,   0.3890,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1603, -32.5000, -72.1954,        0.0,1,      0.062,1,      4.662,1,      0.158,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.6433,2
320620170820,        P06,     245,          1,         19,         19,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   365.8,   7.6915,  34.4427,2,  34.4426,2,  66.8523,2,  68.7257,2,    21.5,2,   35.73,2,    0.00,2,    2.63,2,   1.747,2,   0.850,2,   0.2440,2,  2255.6,2,  2279.9,2,   7.4029,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1606, -32.5001, -72.1954,        0.0,1,      0.064,1,      4.654,1,      0.168,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.7503,2
320620170820,        P06,     245,          1,         20,         20,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   286.2,   8.8790,  34.5318,2,  34.5372,2,  27.2474,2,  27.2503,2,    23.7,2,   33.91,2,    0.00,2,    2.77,2,   1.304,2,   0.664,2,   0.2910,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1609, -32.5001, -72.1954,        0.0,1,      0.067,1,      4.641,1,      0.190,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     9.1004,2
320620170820,        P06,     245,          1,         21,         21,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   240.0,   9.6169,  34.5637,2,  34.5571,2,  24.0821,2,  22.8477,2,    23.4,2,   31.37,2,    0.00,2,    2.76,2,   1.343,2,   0.699,2,   0.2710,2,  2278.6,2,  2284.1,6,   7.3444,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1611, -32.5001, -72.1954,        0.0,1,      0.066,1,      4.642,1,      0.184,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     9.6280,2
320620170820,        P06,     245,          1,         22,         22,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   215.5,  10.2650,  34.6137,2,  34.6062,2,  17.4729,2,  16.4228,2,    24.1,2,   28.74,2,    0.00,2,    2.77,2,   1.264,2,   0.668,2,   0.2750,2,  2279.4,6,  2286.5,2,   7.3470,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1613, -32.5001, -72.1954,        0.0,1,      0.068,1,      4.636,1,      0.199,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.3113,2
320620170820,        P06,     245,          1,         23,         23,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   190.1,  10.6022,  34.6191,2,  34.6111,2,   19.191,2,   18.049,2,    23.5,2,   27.08,2,    0.00,2,    2.74,2,   1.353,2,   0.693,2,   0.2960,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1615, -32.5001, -72.1954,        0.0,1,      0.066,1,      4.636,1,      0.192,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.5722,2
320620170820,        P06,     245,          1,         24,         24,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   164.6,  10.8393,  34.6072,2,  34.6107,2,   24.609,2,  20.9133,2,    22.9,2,   25.45,2,    0.00,2,    2.72,2,   1.463,2,   0.777,2,   0.3440,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1617, -32.5001, -72.1954,        0.0,1,      0.068,1,      4.631,1,      0.210,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.8587,2
320620170820,        P06,     245,          1,         25,         25,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   139.6,  10.9618,  34.5541,2,  34.5392,2,  41.5821,2,  37.6442,2,    19.9,2,   25.08,2,    0.02,2,    2.60,2,   1.831,2,   1.003,2,   0.4690,2,  2263.6,2,  2281.9,2,   7.3809,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1619, -32.5001, -72.1954,        0.0,1,      0.069,1,      4.624,1,      0.207,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.9387,2
320620170820,        P06,     245,          1,         26,         26,2,20170928,       1503,   -32.5000,   -72.1955,       2189,   114.4,  11.0350,  34.4583,2,  34.4392,2,   66.451,2,  64.5836,2,    16.0,2,   25.08,2,    0.03,2,    2.41,2,   2.176,2,   1.211,2,   0.5780,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1621, -32.5001, -72.1954,        0.0,1,      0.069,1,      4.631,1,      0.194,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.9698,2
320620170820,        P06,     245,          1,         27,         27,2,20170928,       1503,   -32.5000,   -72.1955,       2189,    89.4,  11.0724,  34.2402,2,  34.1971,2, 135.6132,2, 142.4445,2,     7.0,2,   22.83,2,    0.04,2,    1.87,2,   2.572,2,   1.558,2,   1.0420,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1623, -32.5000, -72.1954,        0.0,1,      0.073,1,      4.631,1,      0.187,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    11.2153,2
320620170820,        P06,     245,          1,         28,         28,2,20170928,       1503,   -32.5000,   -72.1955,       2189,    64.2,  13.1711,  34.1752,2,  34.1736,2, 255.6343,2, 258.9172,2,     0.8,2,    6.31,2,    0.21,2,    0.83,2,   2.610,2,   1.471,2,   1.3180,2,  2080.2,2,  2273.9,2,   7.8565,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1625, -32.5000, -72.1954,        0.0,1,      0.247,1,      4.546,1,      0.237,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.2607,2
320620170820,        P06,     245,          1,         29,         29,2,20170928,       1503,   -32.5000,   -72.1955,       2189,    29.2,  13.2715,  34.1396,2,-999.0000,9,  260.173,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1627, -32.5000, -72.1955,        0.0,1,      0.378,1,      4.496,1,      0.328,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    13.2903,2
320620170820,        P06,     245,          1,         31,         31,2,20170928,       1503,   -32.5000,   -72.1955,       2189,    29.2,  13.2715,  34.1396,2,  34.1413,2, 266.1552,2, 271.4574,2,    -0.1,2,    4.49,2,    0.19,2,    0.68,2,   2.646,2,   1.464,2,   1.2730,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1629, -32.5000, -72.1955,        0.0,1,      0.378,1,      4.496,1,      0.328,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.2905,2
320620170820,        P06,     245,          1,         30,         30,2,20170928,       1503,   -32.5000,   -72.1955,       2189,    29.0,  13.2715,  34.1396,2,-999.0000,9, 260.7672,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170928,     1628, -32.5000, -72.1955,        0.0,1,      0.378,1,      4.496,1,      0.328,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    13.2904,2
